Gênero/Especie,Nome_popular,Família_Botânica,Tipo,Hábitat,Região
"Cariniana rubra","Jequitibá","Lecythidaceae","Árvore","Mata de Galeria, Mata Seca, Cerrado (lato sensu)","PA, TO, MT, GO"
"Antonia ovata","Quina","Loganiaceae","Arbusto, Subarbusto, Erva","Borda de Mata de Galeria, Cerradão, Cerrado (stricto sensu), Savanas amazônicas, Carrasco, Campo Rupreste","RR, PA, AM, RO, BA, MT, GO, DF, MG"
"Passovia ovata","","Loranthaceae","Hemiparasita","Mata de Galeria, Mata Seca, Mata Ciliar, Cerrado (stricto sensu)","AP, PA, AM, RO, BA, GO"
"Huperzia mooreana","","Lycopodiaceae","Erva","Campo rupestre","BA"
"Cuphea arenarioides","","Lythraceae","Erva, Subarbusto","Cerrado (lato sensu), Borda de Mata de Galeria, Campo rupreste (lato sensu)","GO, DF, MS, MG, SP, PR, SC, RS"
"Banisteriopsis anisandra","Cipó-prata","Malpighiaceae","Trepadeira, Arbusto","Mata Ciliar, Mata de Galeria, Cerrado (lato sensu), Campo Rupestre (lato sensu), Vereda, Campo Sujo, Campo Limpo, Carrasco","BA, GO, DF, MG, SP, MA, MT, MS, PR"
"Cavanillesia umbellata","Barriguda","Malvaceae","Árvore, Erva, Subarbusto","Mata Seca (Decídua), Ambiente rupestre, Transição com a Caatinga","PA, AM, MA, CE, PB, PE, BA, AL, SE, MT, GO, MS, MG, ES, SP, RJ, PR"
"Maranta leuconeura","","Marantaceae","Erva, Subarbusto","Mata Ciliar, Borda de Mata de Galeria","CE, BA, MS, MG, ES, RJ"
"Norantea guianensis","","Marcgraviaceae","Árvore ou liana","Mata Ciliar, Mata de Galeria, Cerrado Rupestre, Campo rupestre (lato sensu)","RO, AM, PA, AP, TO, AC, RR, MA, RN, PB, PE, BA, AL, SE, MT, GO, DF, MS, MG, ES, SP, RJ, PR, SC, RS"
"Mayaca fluviatilis","Lodo","Mayacaceae","Erva aquática ou terrestre","Beira de vazantes e lagoas, veredas","AP, AM, AC, RO, PE, BA, AL, MT, GO, DF, MG, ES, SP, RJ, PR, SC, RS"
"Cambessedesia espora","","Melastomataceae","Erva ereta","Mata de Galeria, Cerrado (lato sensu), Vereda, Campo Sujo, Campo Limpo"," GO, DF, MG, SP, PR"
"Cabralea canjerana","","Meliaceae","Árvore","Mata Ciliar, Mata de Galeria, Mata Seca (Semidecídua, Decídua), Cerradão","RR, PA, AC, BA, MT, GO, DF, MG, SP, RJ, PR, SC, RS"
"Brosimum gaudichaudii","","Moraceae","Arbusto ou árvore","Cerradão, Cerrado (stricto sensu), Campo Sujo","AM, RO, MA, CE, PB, PE, BA, AL, MT, GO, DF, MS, MG, ES, SP, RJ, PR"
"Virola sebifera","Bicuiba-preta","Myristicaceae","Árvore","Mata de Galeria, Mata Seca Semidecídua, Cerradão, Cerrado (lato sensu), Savanas amazônicas","RR, AP, PA, AM, TO, AC, RO, MA, MT, GO, DF, MG, SP, R"
"Myrsine gardneriana","Capororoca","Myrsinaceae","Árvore","Mata de Galeria, Cerrado (lato sensu)","BA, DF, MG, ES, SP, RJ, PR, SC, RS"
"Eugenia calycina","","Myrtaceae","Arbusto","Cerrado (stricto sensu), Vereda, Campo com Murunduns","GO, SP, PR"
"Guapira graciliflora","Maria-mole","Nyctaginaceae","Árvore","Mata de Galeria, Cerradão, Cerrado (lato sensu), Vereda, Carrasco","RO, MA, PI, CE, PE, BA, MT, GO, DF, MS, MG, SP"
"Ludwigia tomentosa","Cruz-de-malta","Onagraceae","Arbusto","Borda de Mata Ciliar, Cerrado (lato sensu), Brejo, Ambiente aquático","TO, BA, MT, GO, DF, MS, MG, SP"
"Sauvagesia erecta","","Ochnaceae","Erva ou subarbusto","Borda de Mata de Galeria, Cerrado (lato sensu), Campo Sujo, Campo Rupestre (lato sensu)","Todo Brasil"
"Polystachia micrantha","","Orchidaceae","Erva epífita","Mata Seca Semidecídua","BA, SP, RS"
"Buchnera juncea","","Orobanchaceae","Erva ereta","Vereda, campo limpo úmido, brejo, campo rupestre (lato sensu), Savanas Amazônicas","RO, AM, PA, AM, AC, MA, PE, BA, MT, GO, DF, MS, MG, SP, PR, SC, RS"
"Oxalis hirsutissima","","Oxalidaceae","Subarbusto","Cerrado (stricto sensu), Campo Limpo, Campo Rupestre (lato sensu)","PA, TO, MT, GO, DF, MG, SP"
"Passiflora nitida","Maracujáde-cheiro","Passifloraceae","Trepadeira","Mata de Galeria, Campo com Murundus","PA, AM, AC, RO, BA, MT, GO, DF"
"Pera glabrat","Sapateiro","Peraceae","Árvore ou arbusto","Mata ciliar, mata de galeria, cerradão, cerrado(lato sensu)","AM, PA, AP, AC, RO, MA, CE, PB, PE, BA, MT, GO, DF, MG, ES, SP, RJ, PR, SC, RS"
"Piper aduncum","Pimenta longa","Piperaceae","Árvore","Mata de Galeria","RR, AP, PA, AM, TO, AC, RO, MA, CE, BA, AL, MT, GO, DF, MS, MG, ES, SP, RJ, PR"
"Echinolaena inflexa","Capim-flecha","Poaceae","Erva perene, cespitosa","Cerrado (stricto sensu), Vereda, Campo Sujo, Campo Limpo, Campo Úmido, Campo Rupestre (stricto sensu), Carrasco, Savanas amazônicas","BA, MT, GO, DF, MS, MG"
"Securidaca diversifolia","","Polygalaceae","Trepadeira","Mata","RR, AP, PA, AM. RO. MA, PI, CE, RN, PB, PE, BA, AL, GO, DF, MS, MG, ES, RJ, PR"
"Triplaris americana","","Polygonaceae","Árvore","Cerradão, Cerrado (lato sensu), Brejo","PA, AM, AC, MT, GO, MS, SP, PR"
"Roupala montana","carne-de-vaca","Proteaceae","Arbusto","Campo Rupestre (lato sensu)","RR, AP, PA, AM, TO, AC, RO, PI, CE, PE, BA, MT, GO, DF, MS, MG, SP, RJ, PR, SC, RS"
"Colubrina glandulosa","","Rhamnaceae","Árvore ou arvoreta","Mata Ciliar, Mata de Galeria, Área antrópica, Cultivada","RR, PA, AC, RO, MA, CE, PB, PE, MT, DF, MG, SP, RJ, PR, SC, RS"
"Cordiera concolor","","Rubiaceae","Arbusto","Mata de Galeria, Cerradão, Cerrado (stricto sensu), Vereda, Campo Rupestre (lato sensu) Carrasco","PA, AM, TO, PE, BA, MT, GO, DF, MS, MG, SP, PR, SC"
"Zanthoxylon rhoifolium","mamica-de-porca","Rutaceae","Árvore","Mata de Galeria, Mata Seca, Cerradão, Cerrado (lato sensu)","RR, AP, PA, AM, TO, AC, RO, MA, PI, CE, RN, PB, PE, BA, AL, SE, MT, GO, DF, MS, MG, ES, SP, RJ, PR, SC, RS"
"Phoradendron caripense","erva de passarinho","Santalaceae","Hemiparasita ou subarbusto","Mata de Galeria, Mata Seca, Cerradão, Cerrado (stricto sensu)","BA, MG, MT, PB, AM"
"Magonia pubescens","","Sapindaceae","Árvore","Borda de mata ciliar, Mata Seca, Cerradão, Cerrado denso","RO, MA, PI, CE, BA, MT, GO, DF, MS, MG, SP"
"Chrysophyllum marginatum","Leiteirinho","Sapotaceae","Árvore","Mata de Galeria, Cerrado","BA, SE, MT, GO, DF, MS, MG, ES, SP, RJ, PR, SC, RS"
"Siparuna guianensis","Negramina","Siparunaceae","Árvore","Mata de Galeria, Mata Seca, Cerradão, Cerrado (stricto sensu)","RO, AP, PA, AM, TO, AC, RO, MA, PI, CE, RN, PB, PE, BA, AL, MT, GO, DF, MS, MG, ES, SP, RJ, PR"
"Simarouba versicolor","Mata-cachorro","Simaroubaceae","Árvore","Mata de Galeria, Mata Seca, Cerradão, Cerrado (stricto sensu), Savanas amazônicas","TO, RO, MA, PI, CE, BA, MG, GO, DF, MS, MG"
"Solanum lycocarpum","fruta-de-lobo","Solanaceae","Arvoreta ou arbusto","Cerrado (stricto sensu), Vereda, Campo Sujo, Área antrópica","BA, MT, GO, DF, MS, MG, ES, SP, RJ, PR"
"Styrax ferrugineus","Laranjinha","Styracaceae","Árvore ou arvoreta","Borda de Mata de Galeria, Cerradão, Cerrado (stricto sensu), Vereda, Campo com Murundus","RO, MT, GO, DF, MS, MG, SP, PR"
"Turnera longiflora","","Turneraceae","Subarbusto","Cerrado (stricto sensu), Campo Sujo, Campo Limpo","TO, GO, DF, MG"
"Cecropia hololeuca","Embaúba-branca","Urticaceae","Árvore","Mata ciliar, área antrópica","BA, MG, ES, SP, RJ"
"Barbacenia umbrosa","","Velloziaceae","Erva","Campo rupestre (lato sensu)","MG"
"Lantana canescens","","Verbenaceae","Arbusto","Borda de mata, área antrópica","AM, PI, CE, RN, PB, PE, BA, AL, MT, GO, DF, MS, MG, SP, RJ, PR,"
"Hybanthus calceolaria","Poaia","Violaceae","Subarbusto","Cerrado (stricto sensu), campo, savanas amazônicas, restinga, área antrópica","RR, PA, AM, TO, MA, PI, CE, RN, PB, PE, BA, AL, SE, MT, DF, MS, MG, ES, SP, RJ"
"Cissus verticillata","","Vitaceae","Trepadeira","Mata ciliar, mata de galeria, mata seca semidecídua, cerrado (lato sensu), brejo, capoeira, área antrópica","RR, AM, PA, AM, TO, AC, RO, MA, PI, CE, RN, PB, PE, BA AL, SE, MT, GO, DF, MS, MG, ES, SP, RJ, PR, SC, RS"
"Callisthene major","Jacaré","Vochysiaceae","Árvore","Borda de mata de galeria, cerrado (lato sensu)","TO, BA, MT, GO, DF, MS, MG, RS, PR, SC"
"Xyris jupicai","Botão-de-ouro","Xyridaceae","Erva","Campo limpo úmido, campo rupestre","BA, DF, GO, MG, SC, TO"
