Gênero/Especie,Nome_popular,Família_Botânica,Tipo,Hábitat,Região
"Kielmeyera coriacea","Pau-santo","Clusiaceae","Árvore","Mata de galeria, cerradão, cerrado (stricto sensu)","PA, AM, RO, BA, MT, GO, DF, MS, MG, SP, PR"
"Kielmeyera neriifolia","","Clusiaceae","Subarbusto","Cerrado (stricto sensu), campo rupestre (lato sensu), carrasco","MA, PI, CE, RN, PB, PE, AL, SE, BA, GO, MG"
"Kielmeyera rubriflora","Rosa-do-campo","Clusiaceae","Arbusto","Cerrado (stricto sensu), campo úmido, campo rupestre (lato sensu)","PA, RO, BA, MT, GO, DF, MS, MG, SP"
"Kielmeyera speciosa","Pau-santo","Clusiaceae","Árvore","Mata ciliar, Cerrado (stricto sensu), campo rupestre (lato sensu)","GO, DF, MG"
"Terminalia fagifolia","Capitão-do-mato, Cambiú, Maçambê","Combretaceae","Árvore","Mata seca, cerradão, cerrado (stricto sensu), campo rupestre (lato sensu)","MA, PI, CE, BA, MT, GO, DF, MS, MG"
"Dichorisandra villosula","","Commelinaceae","Erva , trepadeira","Mata de galeria, cerrado (lato sensu), brejo, transição com pantanal","PA, AM, TO, AC, RO, MG"
"Tripogandra diuretica","","Commelinaceae","Erva","Mata de galeria, brejo","AM, MA, PE, BA, MT, DF, MG, SP, RJ, SC, RS"
"Connarus suberosus","Araruta-do-campo","Connaraceae","Arbusto","Cerrado (stricto sensu), campo sujo, carrasco","PA, TO, MA, PI, BA, MT, GO, DF, MS, MG, SP"
"Rourea induta","Chapeudinha, Pau de porco","Connaraceae","Arvoreta","Cerrado (stricto sensu), campo sujo, campo com murundus, campo rupestre (lato sensu)","PA, TO, RO, MA, PI, CE, PE, BA, MT, GO, DF, MS, MG, SP"
"Bonamia agrostopolis","","Convolvulaceae","Trepadeira","Cerrado, borda de mata","BA, MG, RJ, PR, RS"
"Ipomoea procumbens","Corda-de-viola","Convolvulaceae","Trepadeira","Cerrado (stricto sensu), campo sujo, campo limpo, campo rupestre (stricto sensu)","BA, GO, DF, MG, SP, PR"
"Ipomoea squamisepala","","Convolvulaceae","Subarbusto","Mata de galeria, Cerrado (stricto sensu)","TO, MT, GO, DF, MG"
"Merremia tomentosa","","Convolvulaceae","Subarbusto","Cerrado ralo, campo sujo, campo limpo, campo úmido","MT, GO, DF, MS, MG, SP, PR"
"Jacquemontia linarioides","","Convolvulaceae","Erva, subarbusto","Cerrado, campo","MG, GO"
"Merremia cissoides","","Convolvulaceae","Trepadeira","Borda de mata, cerrado (lato sensu), campo rupestre (lato sensu), savanas amazônicas, área antrópica, daninha","AP, PA, AM, TO, AC, RO, MA, PI, RN, PE, BA, AL, SE, MT, GO, DF, MS, MG, ES, SP, RJ, RS"
"Merremia flagellaris","","Convolvulaceae","Trepadeira","Cerrado (stricto sensu), campo sujo, campo rupestre (lato sensu)","PB, BA, GO, MG"
"Merremia macrocalyx","Corda-de-viola, jatirana","Convolvulaceae","Trepadeira","Mata ciliar, cerrado (lato sensu), campo rupestre (lato sensu), savanas amazônicas, área antrópica, daninha","AP, PA, AM, TO, AC, MA, CE, PB, PE, BA, AL, MT, GO, DF, MG, ES, SP, RJ, PR, SC, RS"
"Merremia umbellata","","Convolvulaceae","Subarbusto , trepadeira","Cerrado (lato sensu)","AM, RO, MA, CE, PE, BA, AL, MT, GO, DF, MS, MG, SP, RJ, PR"
"Bulbostylis paradoxa","","Cyperaceae","Erva ","Cerrado (stricto sensu), cerradão, vereda, campo sujo, campo rupestre (lato sensu), savanas amazônicas","RR, AP, PA, AM, TO, AC, RO, MA, PI, CE, RN, PB, PE, BA, AL, SE, MT, GO, DF, MS, MG, ES, SP, RJ, PR, SC, RS"
"Lagenocarpus rigidus","Capim-arroz","Cyperaceae","Subarbusto","Borda de mata de galeria, cerrado (lato sensu), campo úmido, brejo, campo rupestre","RR, AP, PA, AM, TO, AC, RO, MA, PI, CE, RN, PB, PE, BA, AL, SE, MT, GO, DF, MS, MG, ES, SP, RJ, PR, SC, RS"
"Pteridium aquilinum","","Dennstaedtiaceae","Samambaia das Taperas","Erva, Borda de mata de galeria, Cerrado (lato sensu), campo úmido, área antrópica, daninha","PA, AM, CE, PE, BA, AL, DF, MS, MG, ES, SP, RJ, PR, SC, RS"
"Curatella americana","Lixeira","Dilleniaceae","Árvore","Cerradão, cerrado (stricto sensu), vereda, carrasco, savanas amazônicas","RR, AP, PA, AM, TO, RO, MA, PI, CE, RN, PB, PE, BA, AL, SE, MT, GO, DF, MS, MG"
"Davilla elliptica","Lixeirinha","","Arbusto","Cerrado (stricto sensu), vereda, campo sujo, campo limpo, campo com murundus","PA, TO, RO, MA, PI, BA, MT, GO, DF, MS, MG, SP"
"Drosera montana","Orvalinha","Droseraceae","Erva","Vereda, campo úmido, brejo, campo rupestre (lato sensu)","PB, PE, BA, MT, GO, DF, MS, MG, SP, RJ, PR, SC, RS"
"Drosera communis","Orvalinha","","Erva","Campo limpo úmido, brejo, campo rupestre (lato sensu)","BA, SE, MT, DF, MG, SP, RJ, PR, SC"
"Diospyros hispida","Caqui do mato, Olho de Boi","Ebenaceae","Árvore","Mata ciliar, mata de galeria, cerradão, cerrado (stricto sensu), campo sujo","PA, TO, RO, MA, PI, CE, PB,
PE, BA, AL, MT, GO, DF, MS, MG, ES, SP, RJ, PR"
"Agarista virgata","","Ericaceae","Subarbusto","Campo rupestre (lato sensu)","MG"
"Gaylussacia brasiliensis","Camarinha","Ericaceae","Arvoreta","Mata de galeria, cerrado (lato sensu), vereda, brejo","TO, PE, BA, AL, MT, GO, DF, MG, ES, SP, RJ, PR, SC, RS"
"Actinocephalus polyanthus","Gravatá-do-campo","Eriocaulaceae","Erva","Cerrado (lato sensu), campo rupestre (lato sensu), restinga","BA, GO, DF, MG, SP, RJ, PR, SC, RS"
"Paepalanthus giganteus","Chuveirinho, Sombreiro","Eriocaulaceae","Subarbusto","Cerrado (stricto sensu), vereda, campo sujo, brejo, campo úmido, campo rupestre (stricto sensu)","BA, GO, DF, MG, SP"
"Erythroxilum citrifolium","","Erythroxylaceae","Arbusto","Mata de galeria, cerrado (lato sensu)","RO, AM, PA, AM, RR, MA, CE, PB, PE, BA, AL, MT, GO, MS, MG, ES, SP, RJ"
"Erythroxylum deciduum","Ata-de-cobra, baga-de-pomba, cocão","Erythroxylaceae","Árvore , arvoreta","Mata de galeria, mata ciliar, cerradão, cerrado (stricto sensu), vereda, campo com murundus, campo rupestre (lato sensu)","RO, MA, PI, CE, BA, AL, MT, GO, DF, MS, MG, SP, RJ, PR, SC, RS"
"Erythroxylum suberosum","Mercúrio-do-campo, cabelo-de-negro","Erythroxylaceae","Arvoreta","Cerrado (stricto sensu), verda, campo sujo, campo rupestre (lato sensu), savanas amazônicas, carrasco","RO, AP, PA, AM, TO, RR, MA, PI, CE, PB, PE, BA, AL, MT, GO, DF, MS, MG, ES, SP, RJ, PR"
"Euphorbia potentilloides","","Euphorbiaceae","Erva, subarbusto","Cerrado, campo","BA, MT, GO, MG, SP, PR, RS"
"Cnidoscolus quercifolius","Favela-de-cachorro","Euphorbiaceae","Árvore","Cerrado (stricto sensu)","PI, CE, RN, PB, PE, BA, SE, MG"
"Dalechampia caperonioides","","Euphorbiaceae","Erva","Cerrado (stricto sensu), campo sujo, campo limpo úmido, campo rupestre (stricto sensu)","GO, DF, SP"
"Dalechampia linearis","","Euphorbiaceae","Erva","Cerrado (stricto sensu), campo sujo","PA, TO, PI, GO, RJ, SP, MG, ES"
"Euphorbia sipolisi","","Euphorbiaceae","subarbusto","Campo rupestre","MG"
"Manihot fruticulosa","","Euphorbiaceae","Subarbusto","Cerrado (stricto sensu), campo sujo","GO, MG"
"Manihot peltata","Maniçoba","Euphorbiaceae","Subarbusto","Cerrado (stricto sensu), campo sujo","GO"
"Manihot quinqueloba","","Euphorbiaceae","Subarbusto","Cerrado (stricto sensu), campo sujo, campo rupestre (lato sensu)","MT, GO"
